insurer_id,insurer_no,insurer_name,municipal_administration_name,region_kind,insurer_start_date,insurer_end_date
1,011015,札幌市,札幌市中央区,7,2021/04/01,9999/12/31
2,011023,札幌市,札幌市北区,7,2021/04/01,9999/12/31
3,011031,札幌市,札幌市東区,7,2021/04/01,9999/12/31
4,011049,札幌市,札幌市白石区,7,2021/04/01,9999/12/31
5,011056,札幌市,札幌市豊平区,7,2021/04/01,9999/12/31
6,011064,札幌市,札幌市南区,7,2021/04/01,9999/12/31
7,011072,札幌市,札幌市西区,7,2021/04/01,9999/12/31
8,011080,札幌市,札幌市厚別区,7,2021/04/01,9999/12/31
9,011098,札幌市,札幌市手稲区,7,2021/04/01,9999/12/31
10,011106,札幌市,札幌市清田区,7,2021/04/01,9999/12/31
11,012021,函館市,,8,2021/04/01,9999/12/31
12,012039,小樽市,,8,2021/04/01,9999/12/31
13,012047,旭川市,,8,2021/04/01,9999/12/31
14,012054,室蘭市,,8,2021/04/01,9999/12/31
15,012062,釧路市,,8,2021/04/01,9999/12/31
16,012070,帯広市,,8,2021/04/01,9999/12/31
17,012088,北見市,,8,2021/04/01,9999/12/31
18,012096,夕張市,,8,2021/04/01,9999/12/31
19,012104,岩見沢市,,8,2021/04/01,9999/12/31
20,012112,網走市,,8,2021/04/01,9999/12/31
21,012120,留萌市,,8,2021/04/01,9999/12/31
22,012138,苫小牧市,,8,2021/04/01,9999/12/31
23,012146,稚内市,,8,2021/04/01,9999/12/31
24,012153,美唄市,,8,2021/04/01,9999/12/31
25,012161,芦別市,,8,2021/04/01,9999/12/31
26,012179,江別市,,8,2021/04/01,9999/12/31
27,012187,赤平市,,8,2021/04/01,9999/12/31
28,012195,紋別市,,8,2021/04/01,9999/12/31
29,012203,士別市,,8,2021/04/01,9999/12/31
30,012211,名寄市,,8,2021/04/01,9999/12/31
31,012229,三笠市,,8,2021/04/01,9999/12/31
32,012237,根室市,,8,2021/04/01,9999/12/31
33,012245,千歳市,,8,2021/04/01,9999/12/31
34,012252,滝川市,,8,2021/04/01,9999/12/31
35,012260,砂川市,,8,2021/04/01,9999/12/31
36,012286,深川市,,8,2021/04/01,9999/12/31
37,012294,富良野市,,8,2021/04/01,9999/12/31
38,012302,登別市,,8,2021/04/01,9999/12/31
39,012310,恵庭市,,8,2021/04/01,9999/12/31
40,012336,伊達市,,8,2021/04/01,9999/12/31
41,012344,北広島市,,8,2021/04/01,9999/12/31
42,012351,石狩市,,8,2021/04/01,9999/12/31
43,012369,北斗市,,8,2021/04/01,9999/12/31
44,013037,当別町,,8,2021/04/01,9999/12/31
45,013045,新篠津村,,8,2021/04/01,9999/12/31
46,013318,松前町,,8,2021/04/01,9999/12/31
47,013326,福島町,,8,2021/04/01,9999/12/31
48,013334,知内町,,8,2021/04/01,9999/12/31
49,013342,木古内町,,8,2021/04/01,9999/12/31
50,013375,七飯町,,8,2021/04/01,9999/12/31
51,013433,鹿部町,,8,2021/04/01,9999/12/31
52,013458,森町,,7,2021/04/01,9999/12/31
53,013466,八雲町,,8,2021/04/01,9999/12/31
54,013474,長万部町,,8,2021/04/01,9999/12/31
55,013615,江差町,,8,2021/04/01,9999/12/31
56,013623,上ノ国町,,8,2021/04/01,9999/12/31
57,013631,厚沢部町,,8,2021/04/01,9999/12/31
58,013649,乙部町,,8,2021/04/01,9999/12/31
59,013672,奥尻町,,8,2021/04/01,9999/12/31
60,013706,今金町,,8,2021/04/01,9999/12/31
61,013714,せたな町,,8,2021/04/01,9999/12/31
62,013920,寿都町,,8,2021/04/01,9999/12/31
63,014027,岩内町,,8,2021/04/01,9999/12/31
64,014084,余市町,,8,2021/04/01,9999/12/31
65,014233,南幌町,,8,2021/04/01,9999/12/31
66,014274,由仁町,,8,2021/04/01,9999/12/31
67,014282,長沼町,,8,2021/04/01,9999/12/31
68,014290,栗山町,,8,2021/04/01,9999/12/31
69,014308,月形町,,8,2021/04/01,9999/12/31
70,014332,妹背牛町,,8,2021/04/01,9999/12/31
71,014340,秩父別町,,8,2021/04/01,9999/12/31
72,014373,北竜町,,8,2021/04/01,9999/12/31
73,014381,沼田町,,8,2021/04/01,9999/12/31
74,014399,幌加内町,,8,2021/04/01,9999/12/31
75,014522,鷹栖町,,8,2021/04/01,9999/12/31
76,014548,当麻町,,8,2021/04/01,9999/12/31
77,014555,比布町,,8,2021/04/01,9999/12/31
78,014563,愛別町,,8,2021/04/01,9999/12/31
79,014571,上川町,,8,2021/04/01,9999/12/31
80,014605,上富良野町,,8,2021/04/01,9999/12/31
81,014613,中富良野町,,8,2021/04/01,9999/12/31
82,014621,南富良野町,,8,2021/04/01,9999/12/31
83,014639,占冠村,,8,2021/04/01,9999/12/31
84,014647,和寒町,,8,2021/04/01,9999/12/31
85,014654,剣淵町,,8,2021/04/01,9999/12/31
86,014688,下川町,,8,2021/04/01,9999/12/31
87,014696,美深町,,8,2021/04/01,9999/12/31
88,014704,音威子府村,,8,2021/04/01,9999/12/31
89,014712,中川町,,8,2021/04/01,9999/12/31
90,014811,増毛町,,8,2021/04/01,9999/12/31
91,014829,小平町,,8,2021/04/01,9999/12/31
92,014837,苫前町,,8,2021/04/01,9999/12/31
93,014845,羽幌町,,8,2021/04/01,9999/12/31
94,014852,初山別村,,8,2021/04/01,9999/12/31
95,014860,遠別町,,8,2021/04/01,9999/12/31
96,014878,天塩町,,8,2021/04/01,9999/12/31
97,015115,猿払村,,8,2021/04/01,9999/12/31
98,015123,浜頓別町,,8,2021/04/01,9999/12/31
99,015131,中頓別町,,8,2021/04/01,9999/12/31
100,015149,枝幸町,,8,2021/04/01,9999/12/31
101,015164,豊富町,,8,2021/04/01,9999/12/31
102,015172,礼文町,,8,2021/04/01,9999/12/31
103,015180,利尻町,,8,2021/04/01,9999/12/31
104,015198,利尻富士町,,8,2021/04/01,9999/12/31
105,015206,幌延町,,8,2021/04/01,9999/12/31
106,015438,美幌町,,8,2021/04/01,9999/12/31
107,015446,津別町,,8,2021/04/01,9999/12/31
108,015453,斜里町,,8,2021/04/01,9999/12/31
109,015461,清里町,,8,2021/04/01,9999/12/31
110,015479,小清水町,,8,2021/04/01,9999/12/31
111,015495,訓子府町,,8,2021/04/01,9999/12/31
112,015503,置戸町,,8,2021/04/01,9999/12/31
113,015529,佐呂間町,,8,2021/04/01,9999/12/31
114,015552,遠軽町,,8,2021/04/01,9999/12/31
115,015594,湧別町,,8,2021/04/01,9999/12/31
116,015602,滝上町,,8,2021/04/01,9999/12/31
117,015610,興部町,,8,2021/04/01,9999/12/31
118,015628,西興部村,,8,2021/04/01,9999/12/31
119,015636,雄武町,,8,2021/04/01,9999/12/31
120,015644,大空町,,8,2021/04/01,9999/12/31
121,015719,豊浦町,,8,2021/04/01,9999/12/31
122,015750,壮瞥町,,8,2021/04/01,9999/12/31
123,015784,白老町,,8,2021/04/01,9999/12/31
124,015818,厚真町,,8,2021/04/01,9999/12/31
125,015842,洞爺湖町,,8,2021/04/01,9999/12/31
126,015859,安平町,,8,2021/04/01,9999/12/31
127,015867,むかわ町,,8,2021/04/01,9999/12/31
128,016014,日高町,,8,2021/04/01,9999/12/31
129,016022,平取町,,8,2021/04/01,9999/12/31
130,016071,浦河町,,8,2021/04/01,9999/12/31
131,016089,様似町,,8,2021/04/01,9999/12/31
132,016097,えりも町,,8,2021/04/01,9999/12/31
133,016311,音更町,,8,2021/04/01,9999/12/31
134,016329,士幌町,,8,2021/04/01,9999/12/31
135,016337,上士幌町,,8,2021/04/01,9999/12/31
136,016345,鹿追町,,8,2021/04/01,9999/12/31
137,016352,新得町,,8,2021/04/01,9999/12/31
138,016360,清水町,,7,2021/04/01,9999/12/31
139,016378,芽室町,,8,2021/04/01,9999/12/31
140,016386,中札内村,,8,2021/04/01,9999/12/31
141,016394,更別村,,8,2021/04/01,9999/12/31
142,016410,大樹町,,8,2021/04/01,9999/12/31
143,016428,広尾町,,8,2021/04/01,9999/12/31
144,016436,幕別町,,8,2021/04/01,9999/12/31
145,016444,池田町,,8,2021/04/01,9999/12/31
146,016451,豊頃町,,8,2021/04/01,9999/12/31
147,016469,本別町,,8,2021/04/01,9999/12/31
148,016477,足寄町,,8,2021/04/01,9999/12/31
149,016485,陸別町,,8,2021/04/01,9999/12/31
150,016493,浦幌町,,8,2021/04/01,9999/12/31
151,016618,釧路町,,8,2021/04/01,9999/12/31
152,016626,厚岸町,,8,2021/04/01,9999/12/31
153,016634,浜中町,,8,2021/04/01,9999/12/31
154,016642,標茶町,,8,2021/04/01,9999/12/31
155,016659,弟子屈町,,8,2021/04/01,9999/12/31
156,016675,鶴居村,,8,2021/04/01,9999/12/31
157,016683,白糠町,,8,2021/04/01,9999/12/31
158,016915,別海町,,8,2021/04/01,9999/12/31
159,016923,中標津町,,8,2021/04/01,9999/12/31
160,016931,標津町,,8,2021/04/01,9999/12/31
161,016949,羅臼町,,8,2021/04/01,9999/12/31
162,016048,日高中部広域連合,北海道新冠郡新冠町,8,2021/04/01,9999/12/31
163,016105,日高中部広域連合,北海道日高郡新ひだか町,8,2021/04/01,9999/12/31
164,012278,空知中部広域連合,北海道歌志内市,8,2021/04/01,9999/12/31
165,014241,空知中部広域連合,北海道空知郡奈井江町,8,2021/04/01,9999/12/31
166,014258,空知中部広域連合,北海道空知郡上砂川町,8,2021/04/01,9999/12/31
167,014316,空知中部広域連合,北海道樺戸郡浦臼町,8,2021/04/01,9999/12/31
168,014324,空知中部広域連合,北海道樺戸郡新十津川町,8,2021/04/01,9999/12/31
169,014365,空知中部広域連合,北海道雨竜郡雨竜町,8,2021/04/01,9999/12/31
170,013912,後志広域連合,島牧村,8,2021/04/01,9999/12/31
171,013938,後志広域連合,黒松内町,8,2021/04/01,9999/12/31
172,013946,後志広域連合,蘭越町,8,2021/04/01,9999/12/31
173,013953,後志広域連合,ニセコ町,8,2021/04/01,9999/12/31
174,013961,後志広域連合,真狩村,8,2021/04/01,9999/12/31
175,013979,後志広域連合,留寿都村,8,2021/04/01,9999/12/31
176,013987,後志広域連合,喜茂別町,8,2021/04/01,9999/12/31
177,013995,後志広域連合,京極町,8,2021/04/01,9999/12/31
178,014001,後志広域連合,倶知安町,8,2021/04/01,9999/12/31
179,014019,後志広域連合,共和町,8,2021/04/01,9999/12/31
180,014035,後志広域連合,泊村,8,2021/04/01,9999/12/31
181,014043,後志広域連合,神恵内村,8,2021/04/01,9999/12/31
182,014050,後志広域連合,積丹町,8,2021/04/01,9999/12/31
183,014068,後志広域連合,古平町,8,2021/04/01,9999/12/31
184,014076,後志広域連合,仁木町,8,2021/04/01,9999/12/31
185,014092,後志広域連合,赤井川村,8,2021/04/01,9999/12/31
186,014530,大雪地区広域連合,北海道上川郡東神楽町,8,2021/04/01,9999/12/31
187,014589,大雪地区広域連合,北海道上川郡東川町,8,2021/04/01,9999/12/31
188,014597,大雪地区広域連合,北海道上川郡美瑛町,8,2021/04/01,9999/12/31
189,022012,青森市,,8,2021/04/01,9999/12/31
190,022020,弘前市,,8,2021/04/01,9999/12/31
191,022038,八戸市,,8,2021/04/01,9999/12/31
192,022046,黒石市,,8,2021/04/01,9999/12/31
193,022053,五所川原市,,8,2021/04/01,9999/12/31
194,022061,十和田市,,8,2021/04/01,9999/12/31
195,022079,三沢市,,8,2021/04/01,9999/12/31
196,022087,むつ市,,8,2021/04/01,9999/12/31
197,022095,つがる市,,8,2021/04/01,9999/12/31
198,022103,平川市,,8,2021/04/01,9999/12/31
199,023010,平内町,,8,2021/04/01,9999/12/31
200,023036,今別町,,8,2021/04/01,9999/12/31
201,023044,蓬田村,,8,2021/04/01,9999/12/31
202,023077,外ヶ浜町,,8,2021/04/01,9999/12/31
203,023218,鰺ヶ沢町,,8,2021/04/01,9999/12/31
204,023234,深浦町,,8,2021/04/01,9999/12/31
205,023432,西目屋村,,8,2021/04/01,9999/12/31
206,023614,藤崎町,,8,2021/04/01,9999/12/31
207,023622,大鰐町,,8,2021/04/01,9999/12/31
208,023671,田舎館村,,8,2021/04/01,9999/12/31
209,023812,板柳町,,8,2021/04/01,9999/12/31
210,023846,鶴田町,,8,2021/04/01,9999/12/31
211,023879,中泊町,,8,2021/04/01,9999/12/31
212,024018,野辺地町,,8,2021/04/01,9999/12/31
213,024026,七戸町,,8,2021/04/01,9999/12/31
214,024059,六戸町,,8,2021/04/01,9999/12/31
215,024067,横浜町,,8,2021/04/01,9999/12/31
216,024083,東北町,,8,2021/04/01,9999/12/31
217,024117,六ヶ所村,,8,2021/04/01,9999/12/31
218,024125,おいらせ町,,8,2021/04/01,9999/12/31
219,024232,大間町,,8,2021/04/01,9999/12/31
220,024240,東通村,,8,2021/04/01,9999/12/31
221,024257,風間浦村,,8,2021/04/01,9999/12/31
222,024265,佐井村,,8,2021/04/01,9999/12/31
223,024414,三戸町,,8,2021/04/01,9999/12/31
224,024422,五戸町,,8,2021/04/01,9999/12/31
225,024430,田子町,,8,2021/04/01,9999/12/31
226,024455,南部町,,8,2021/04/01,9999/12/31
227,024463,階上町,,8,2021/04/01,9999/12/31
228,024505,新郷村,,8,2021/04/01,9999/12/31
229,032011,盛岡市,,8,2021/04/01,9999/12/31
230,032029,宮古市,,8,2021/04/01,9999/12/31
231,032037,大船渡市,,8,2021/04/01,9999/12/31
232,032052,花巻市,,8,2021/04/01,9999/12/31
233,032060,北上市,,8,2021/04/01,9999/12/31
234,032086,遠野市,,8,2021/04/01,9999/12/31
235,032102,陸前高田市,,8,2021/04/01,9999/12/31
236,032110,釜石市,,8,2021/04/01,9999/12/31
237,032151,奥州市,,8,2021/04/01,9999/12/31
238,032169,滝沢市,,8,2021/04/01,9999/12/31
239,033019,雫石町,,8,2021/04/01,9999/12/31
240,033217,紫波町,,8,2021/04/01,9999/12/31
241,033225,矢巾町,,8,2021/04/01,9999/12/31
242,033662,西和賀町,,8,2021/04/01,9999/12/31
243,033811,金ケ崎町,,8,2021/04/01,9999/12/31
244,034413,住田町,,8,2021/04/01,9999/12/31
245,034611,大槌町,,8,2021/04/01,9999/12/31
246,034827,山田町,,8,2021/04/01,9999/12/31
247,034835,岩泉町,,8,2021/04/01,9999/12/31
248,034843,田野畑村,,8,2021/04/01,9999/12/31
249,032136,二戸地区広域行政事務組合,岩手県二戸市,8,2021/04/01,9999/12/31
250,035014,二戸地区広域行政事務組合,岩手県九戸郡軽米町,8,2021/04/01,9999/12/31
251,035063,二戸地区広域行政事務組合,岩手県九戸郡九戸村,8,2021/04/01,9999/12/31
252,035246,二戸地区広域行政事務組合,岩手県二戸郡一戸町,8,2021/04/01,9999/12/31
253,032144,盛岡北部行政事務組合,岩手県八幡平市,8,2021/04/01,9999/12/31
254,033027,盛岡北部行政事務組合,岩手県岩手郡葛巻町,8,2021/04/01,9999/12/31
255,033035,盛岡北部行政事務組合,岩手県岩手郡岩手町,8,2021/04/01,9999/12/31
256,032078,久慈広域連合,岩手県久慈市,8,2021/04/01,9999/12/31
257,034850,久慈広域連合,岩手県下閉伊郡普代村,8,2021/04/01,9999/12/31
258,035030,久慈広域連合,岩手県九戸郡野田村,8,2021/04/01,9999/12/31
259,035071,久慈広域連合,岩手県九戸郡洋野町,8,2021/04/01,9999/12/31
260,032094,一関地区広域行政組合,岩手県一関市,8,2021/04/01,9999/12/31
261,034025,一関地区広域行政組合,岩手県西磐井郡平泉町,8,2021/04/01,9999/12/31
262,041012,仙台市,仙台市青葉区,6,2021/04/01,9999/12/31
263,041020,仙台市,仙台市宮城野区,6,2021/04/01,9999/12/31
264,041038,仙台市,仙台市若林区,6,2021/04/01,9999/12/31
265,041046,仙台市,仙台市太白区,6,2021/04/01,9999/12/31
266,041053,仙台市,仙台市泉区,6,2021/04/01,9999/12/31
267,042028,石巻市,,8,2021/04/01,9999/12/31
268,042036,塩竈市,,8,2021/04/01,9999/12/31
269,042051,気仙沼市,,8,2021/04/01,9999/12/31
270,042069,白石市,,8,2021/04/01,9999/12/31
271,042077,名取市,,8,2021/04/01,9999/12/31
272,042085,宮城県角田市,,8,2021/04/01,9999/12/31
273,042093,多賀城市,,6,2021/04/01,9999/12/31
274,042119,岩沼市,,8,2021/04/01,9999/12/31
275,042127,登米市,,8,2021/04/01,9999/12/31
276,042135,栗原市,,8,2021/04/01,9999/12/31
277,042143,東松島市,,8,2021/04/01,9999/12/31
278,042150,大崎市,,8,2021/04/01,9999/12/31
279,042168,富谷市,,8,2021/04/01,9999/12/31
280,043018,蔵王町,,8,2021/04/01,9999/12/31
281,043026,七ヶ宿町,,8,2021/04/01,9999/12/31
282,043216,大河原町,,8,2021/04/01,9999/12/31
283,043224,村田町,,8,2021/04/01,9999/12/31
284,043232,柴田町,,8,2021/04/01,9999/12/31
285,043240,川崎町,,8,2021/04/01,9999/12/31
286,043414,丸森町,,8,2021/04/01,9999/12/31
287,043612,亘理町,,8,2021/04/01,9999/12/31
288,043620,山元町,,8,2021/04/01,9999/12/31
289,044016,松島町,,8,2021/04/01,9999/12/31
290,044040,七ヶ浜町,,8,2021/04/01,9999/12/31
291,044065,利府町,,8,2021/04/01,9999/12/31
292,044214,大和町,,8,2021/04/01,9999/12/31
293,044222,大郷町,,8,2021/04/01,9999/12/31
294,044248,大衡村,,8,2021/04/01,9999/12/31
295,044446,色麻町,,8,2021/04/01,9999/12/31
296,044453,加美町,,8,2021/04/01,9999/12/31
297,045013,涌谷町,,8,2021/04/01,9999/12/31
298,045054,美里町,,8,2021/04/01,9999/12/31
299,045815,女川町,,8,2021/04/01,9999/12/31
300,046060,南三陸町,,8,2021/04/01,9999/12/31
301,052019,秋田市,,8,2021/04/01,9999/12/31
302,052027,能代市,,8,2021/04/01,9999/12/31
303,052035,横手市,,8,2021/04/01,9999/12/31
304,052043,大館市,,8,2021/04/01,9999/12/31
305,052068,男鹿市,,8,2021/04/01,9999/12/31
306,052076,湯沢市,,8,2021/04/01,9999/12/31
307,052092,鹿角市,,8,2021/04/01,9999/12/31
308,052118,潟上市,,8,2021/04/01,9999/12/31
309,052134,北秋田市,,8,2021/04/01,9999/12/31
310,053033,小坂町,,8,2021/04/01,9999/12/31
311,053272,上小阿仁村,,8,2021/04/01,9999/12/31
312,053462,藤里町,,8,2021/04/01,9999/12/31
313,053488,三種町,,8,2021/04/01,9999/12/31
314,053496,八峰町,,8,2021/04/01,9999/12/31
315,053611,五城目町,,8,2021/04/01,9999/12/31
316,053637,八郎潟町,,8,2021/04/01,9999/12/31
317,053660,井川町,,8,2021/04/01,9999/12/31
318,053686,大潟村,,8,2021/04/01,9999/12/31
319,054635,羽後町,,8,2021/04/01,9999/12/31
320,054643,東成瀬村,,8,2021/04/01,9999/12/31
321,052100,本荘由利広域市町村圏組合,秋田県由利本荘市,8,2021/04/01,9999/12/31
322,052142,本荘由利広域市町村圏組合,秋田県にかほ市,8,2021/04/01,9999/12/31
323,052126,大曲仙北広域市町村圏組合,秋田県大仙市,8,2021/04/01,9999/12/31
324,052159,大曲仙北広域市町村圏組合,秋田県仙北市,8,2021/04/01,9999/12/31
325,054346,大曲仙北広域市町村圏組合,秋田県仙北郡美郷町,8,2021/04/01,9999/12/31
326,062018,山形市,,8,2021/04/01,9999/12/31
327,062026,米沢市,,8,2021/04/01,9999/12/31
328,062034,鶴岡市,,8,2021/04/01,9999/12/31
329,062042,酒田市,,8,2021/04/01,9999/12/31
330,062059,新庄市,,8,2021/04/01,9999/12/31
331,062067,寒河江市,,8,2021/04/01,9999/12/31
332,062075,上山市,,8,2021/04/01,9999/12/31
333,062083,村山市,,8,2021/04/01,9999/12/31
334,062091,長井市,,8,2021/04/01,9999/12/31
335,062109,天童市,,8,2021/04/01,9999/12/31
336,062117,東根市,,8,2021/04/01,9999/12/31
337,062125,尾花沢市,,8,2021/04/01,9999/12/31
338,062133,南陽市,,8,2021/04/01,9999/12/31
339,063016,山辺町,,8,2021/04/01,9999/12/31
340,063024,中山町,,8,2021/04/01,9999/12/31
341,063214,河北町,,8,2021/04/01,9999/12/31
342,063222,西川町,,8,2021/04/01,9999/12/31
343,063230,朝日町,,7,2021/04/01,9999/12/31
344,063248,大江町,,8,2021/04/01,9999/12/31
345,063412,大石田町,,8,2021/04/01,9999/12/31
346,063610,金山町,,8,2021/04/01,9999/12/31
347,063628,最上町,,8,2021/04/01,9999/12/31
348,063636,舟形町,,8,2021/04/01,9999/12/31
349,063644,真室川町,,8,2021/04/01,9999/12/31
350,063651,大蔵村,,8,2021/04/01,9999/12/31
351,063669,鮭川村,,8,2021/04/01,9999/12/31
352,063677,戸沢村,,8,2021/04/01,9999/12/31
353,063818,高畠町,,8,2021/04/01,9999/12/31
354,063826,川西町,,7,2021/04/01,9999/12/31
355,064014,小国町,,8,2021/04/01,9999/12/31
356,064022,白鷹町,,8,2021/04/01,9999/12/31
357,064030,飯豊町,,8,2021/04/01,9999/12/31
358,064261,三川町,,8,2021/04/01,9999/12/31
359,064287,庄内町,,8,2021/04/01,9999/12/31
360,064618,遊佐町,,8,2021/04/01,9999/12/31
361,072017,福島市,,8,2021/04/01,9999/12/31
362,072025,会津若松市,,8,2021/04/01,9999/12/31
363,072033,郡山市,,8,2021/04/01,9999/12/31
364,072041,いわき市,,8,2021/04/01,9999/12/31
365,072058,白河市,,8,2021/04/01,9999/12/31
366,072074,須賀川市,,8,2021/04/01,9999/12/31
367,072082,喜多方市,,8,2021/04/01,9999/12/31
368,072090,相馬市,,8,2021/04/01,9999/12/31
369,072108,二本松市,,8,2021/04/01,9999/12/31
370,072116,田村市,,8,2021/04/01,9999/12/31
371,072124,南相馬市,,8,2021/04/01,9999/12/31
372,072132,伊達市,,8,2021/04/01,9999/12/31
373,072140,本宮市,,8,2021/04/01,9999/12/31
374,073015,桑折町,,8,2021/04/01,9999/12/31
